2	101	233	383
3	103	239	389
5	107	241	397
7	109	251	401
11	113	257	409
13	127	263	419
17	131	269	421
19	137	271	431
23	139	277	433
29	149	281	439
31	151	283	443
37	157	293	449
41	163	307	457
43	167	311	461
47	173	313	463
53	179	317	467
59	181	331	479
61	191	337	487
67	193	347	491
71	197	349	499
73	199	353	503
79	211	359	509
83	223	367	521
89	227	373	523
97	229	379	541

7927	8171	8389	8641
7933	8179	8419	8647
7937	8191	8423	8663
7949	8209	8429	8669
7951	8219	8431	8677
7963	8221	8443	8681
7993	8231	8447	8689
8009	8233	8461	8693
8011	8237	8467	8699
8017	8243	8501	8707
8039	8263	8513	8713
8053	8269	8521	8719
8059	8273	8527	8731
8069	8287	8537	8737
8081	8291	8539	8741
8087	8293	8543	8747
8089	8297	8563	8753
8093	8311	8573	8761
8101	8317	8581	8779
8111	8329	8597	8783
8117	8353	8599	8803
8123	8363	8609	8807
8147	8369	8623	8819
8161	8377	8627	8821
8167	8387	8629	8831

104743	105023	105359	105613
104759	105031	105361	105619
104761	105037	105367	105649
104773	105071	105373	105653
104779	105097	105379	105667
104789	105107	105389	105673
104801	105137	105397	105683
104803	105143	105401	105691
104827	105167	105407	105701
104831	105173	105437	105727
104849	105199	105449	105733
104851	105211	105467	105751
104869	105227	105491	105761
104879	105229	105499	105767
104891	105239	105503	105769
104911	105251	105509	105817
104917	105253	105517	105829
104933	105263	105527	105863
104947	105269	105529	105871
104953	105277	105533	105883
104959	105319	105541	105899
104971	105323	105557	105907
104987	105331	105563	105913
104999	105337	105601	105929
105019	105341	105607	105943

1299721	1300073	1300421	1300751
1299743	1300097	1300423	1300769
1299763	1300111	1300433	1300771
1299791	1300127	1300451	1300781
1299811	1300129	1300457	1300813
1299817	1300133	1300463	1300829
1299821	1300139	1300471	1300837
1299827	1300141	1300477	1300841
1299833	1300147	1300487	1300843
1299841	1300153	1300501	1300907
1299853	1300181	1300511	1300921
1299869	1300193	1300553	1300927
1299877	1300199	1300571	1300931
1299887	1300237	1300573	1300963
1299899	1300253	1300583	1300967
1299917	1300283	1300597	1300979
1299919	1300289	1300609	1300997
1299941	1300297	1300613	1301011
1299953	1300307	1300633	1301017
1299979	1300309	1300639	1301021
1299989	1300319	1300669	1301023
1300021	1300333	1300681	1301033
1300027	1300339	1300709	1301057
1300031	1300367	1300711	1301077
1300051	1300391	1300727	1301081

15485867	15486277	15486727	15487039
15485917	15486281	15486739	15487049
15485927	15486283	15486749	15487061
15485933	15486287	15486769	15487067
15485941	15486347	15486773	15487097
15485959	15486421	15486781	15487103
15485989	15486433	15486791	15487139
15485993	15486437	15486803	15487151
15486013	15486451	15486827	15487177
15486041	15486469	15486833	15487237
15486047	15486481	15486857	15487243
15486059	15486487	15486869	15487249
15486071	15486491	15486871	15487253
15486101	15486511	15486883	15487271
15486139	15486517	15486893	15487291
15486157	15486533	15486907	15487309
15486173	15486557	15486917	15487313
15486181	15486571	15486929	15487319
15486193	15486589	15486931	15487331
15486209	15486649	15486953	15487361
15486221	15486671	15486967	15487399
15486227	15486673	15486997	15487403
15486241	15486703	15487001	15487429
15486257	15486707	15487007	15487457
15486259	15486719	15487019	15487469

179424691	179425033	179425601	179426083
179424697	179425063	179425619	179426089
179424719	179425069	179425637	179426111
179424731	179425097	179425657	179426123
179424743	179425133	179425661	179426129
179424779	179425153	179425693	179426141
179424787	179425171	179425699	179426167
179424793	179425177	179425709	179426173
179424797	179425237	179425711	179426183
179424799	179425261	179425777	179426231
179424821	179425319	179425811	179426239
179424871	179425331	179425817	179426263
179424887	179425357	179425819	179426321
179424893	179425373	179425823	179426323
179424899	179425399	179425849	179426333
179424907	179425403	179425859	179426339
179424911	179425423	179425867	179426341
179424929	179425447	179425879	179426353
179424937	179425453	179425889	179426363
179424941	179425457	179425907	179426369
179424977	179425517	179425943	179426407
179424989	179425529	179425993	179426447
179425003	179425537	179426003	179426453
179425019	179425559	179426029	179426491
179425027	179425579	179426081	179426549

32416187567	32416188223	32416188809	32416189391
32416187627	32416188227	32416188839	32416189459
32416187651	32416188241	32416188859	32416189469
32416187659	32416188257	32416188877	32416189493
32416187701	32416188269	32416188887	32416189499
32416187719	32416188271	32416188899	32416189511
32416187737	32416188331	32416188949	32416189573
32416187747	32416188349	32416189019	32416189633
32416187761	32416188367	32416189031	32416189657
32416187773	32416188397	32416189049	32416189669
32416187827	32416188449	32416189061	32416189681
32416187863	32416188451	32416189063	32416189717
32416187893	32416188491	32416189079	32416189721
32416187899	32416188499	32416189081	32416189733
32416187927	32416188517	32416189163	32416189753
32416187929	32416188527	32416189181	32416189777
32416187933	32416188583	32416189193	32416189853
32416187953	32416188589	32416189231	32416189859
32416187977	32416188601	32416189261	32416189867
32416187987	32416188647	32416189277	32416189877
32416188011	32416188689	32416189291	32416189909
32416188037	32416188691	32416189321	32416189919
32416188113	32416188697	32416189349	32416189987
32416188127	32416188767	32416189361	32416190039
32416188191	32416188793	32416189381	32416190071
